"1.4 - Extensión superficial, población efectiva y densidad de población, año 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
,,,,,
,,,,,
,Extensión superficial (km2),,,                       Población, Densidad de
,,              Cayos,Área de,efectiva, población
CONCEPTO,Total,  adyacentes,tierra firme,         (U) ,(hab/km2)
,,,,,
Archipiélago cubano,109884.01000000001,3126.41,106757.6,10885341,99.06210193821649
,,,,,
    Pinar del Río,8883.74,68.47000000000001,8815.27,571011,64.27596935524903
     Sandino,1710.87,7.87,1703,35322,20.64563643058795
     Mantua,914.65,15.3,899.35,23289,25.46219865522331
     Minas de Matahambre,857.9,9.38,848.52,30982,36.11376617321366
     Viñales,693.0699999999999,10.26,682.81,28561,41.20940164774121
     La Palma,641.7,7.51,634.19,33352,51.974442886083835
     Los Palacios,764.51,-,764.51,37206,48.666466102470864
     Consolación del Sur,1111.9,0.19,1111.71,86616,77.89909164493208
     Pinar del Río,730.9399999999999,16.67,714.27,187448,256.4478616575916
     San Luis,325.93,1.29,324.64,31216,95.77516644678305
     San Juan y Martínez,408.22,-,408.22,42096,103.12086619959825
     Guane,724.05,-,724.05,34923,48.23285684690284
   Artemisa,4003.24,1.52,4001.72,502385,125.49459937450666
     Bahía Honda,784.14,1.5,782.64,42369,54.032443186165736
     Mariel,270.86,-,270.86,43828,161.81052942479508
     Guanajay,110.26,-,110.26,27233,246.9889352439688
     Caimito,239.42,-,239.42,41535,173.4817475565951
     Bauta,154.63,-,154.63,49549,320.43587919549896
     San Antonio de los Baños,126.37,-,126.37,49707,393.3449394634802
     Güira de Melena,197.91,-,197.91,39566,199.91915517154263
     Alquízar,194.36,-,194.36,32830,168.9133566577485
     Artemisa,688.69,-,688.69,84439,122.60814009205883
     Candelaria,301.66,-,301.66,20963,69.49214347278392
     San Cristóbal,934.9399999999999,0.02,934.92,70366,75.2625836952104
  La Habana,728.2599999999999,0,728.2599999999999,2041505,2803.263944195755
     Playa,35.81,-,35.81,169415,4730.941077911198
     Plaza de la Revolución,12.26,-,12.26,131408,10718.433931484502
     Centro Habana,3.42,-,3.42,126105,36872.80701754386
     La Habana Vieja,4.37,-,4.37,76511,17508.23798627002
     Regla,10.22,-,10.22,42126,4121.9178082191775
     La Habana del Este,141.49,-,141.49,166616,1177.581454519754
     Guanabacoa,129.48,-,129.48,122722,947.8066110596232
     San Miguel del Padrón,25.55,-,25.55,153856,6021.761252446184
     Diez de Octubre,12.28,-,12.28,190024,15474.2671009772
     Cerro,10.19,-,10.19,118494,11628.459273797842
     Marianao,23.17,-,23.17,129047,5569.572723349158
     La Lisa,37.14,-,37.14,141560,3811.5239633817987
     Boyeros,134.8,-,134.8,194967,1446.3427299703262
     Arroyo Naranjo,82.18,-,82.18,199235,2424.373326843514
     Cotorro,65.9,-,65.9,79419,1205.1441578148708
,,,,,
,,,,,
,,,,,
"1.4 - Extensión superficial, población efectiva y densidad de población, año 2021 (continuación)",,,,,
,,,,,
,,,,,
,,,,,
,Extensión superficial (km2),,,                       Población, Densidad de
,,              Cayos,Área de,efectiva, población
CONCEPTO,Total,  adyacentes,tierra firme,         (U) ,(hab/km2)
,,,,,
